selected_equipment,min_time,max_time
6105QC型,1492704000,1492704000
6110型,1492704000,1492704000
CA1092E运输车,1483718400,1493568000
EQ1090E型汽车,1484236800,1491667200
EQ1090型汽车,1484236800,1492704000
EQ1090油罐车,1492704000,1492704000
EQ1090运水车,1488470400,1495296000
EQ1091型汽车,1493568000,1494604800
EQ1092F1A型汽车,1489248000,1489248000
EQ140型汽车,1492704000,1492704000
EQ144型汽车,1486224000,1486224000
EQ2080型汽车,1489248000,1490803200
EQ2102型,1491667200,1492704000
EQ2102型汽车,1491667200,1491667200
EQ240巡逻车,1493568000,1496505600
EQ240巡逻车箭炮车,1496505600,1496505600
EQ245牵引车,1488211200,1488211200
EQll08G6D型柴油车,1490803200,1490803200
EQll08G型柴油车,1491667200,1491667200
EQll08G型汽车,1490803200,1490803200
EQll08G型车,1491667200,1491667200
EQll08型柴油汽车,1491667200,1491667200
HY473（6×6）牵引车,1483200000,1488470400
HY962半挂平板车,1483545600,1494604800
WJ94装甲防暴,1490630400,1501516800
WJ94装甲防暴车,1486051200,1490803200
WJ94轮式装甲防暴车,1483545600,1494604800
WS-1B自行火箭炮,1496678400,1496678400
WS-1B自行火箭炮车,1488470400,1488902400
WZ901保安车,1483545600,1496419200
WZ901轮式装甲安全车,1488297600,1499961600
ZSL92式轮式步兵战车,1483200000,1501516800
一汽捷达,1491926400,1491926400
上汽奇瑞,1494345600,1494345600
上海别克GL,1483200000,1487606400
东风EQ1090E,1484928000,1493913600
东风EQ1091运输车,1489075200,1489075200
东风EQ245,1493568000,1493568000
东风勇士,1485964800,1485964800
东风猛士,1494000000,1500307200
东风运水车,1493568000,1493827200
东风运输车,1493568000,1494604800
东风铁甲,1483200000,1494604800
五岳TAZ3090,1483286400,1499961600
别克赛欧,1493913600,1493913600
北汽勇士,1483286400,1496678400
北起BCW5122JQZ,1493740800,1499616000
北起CWY12,1499529600,1499529600
奇瑞SQR7160ET车,1493568000,1493568000
奔驰2026,1488988800,1490457600
奔驰2026（6×6）8吨级越野车,1492444800,1494000000
奥迪A1,1485100800,1500652800
奥迪A2,1483459200,1499443200
奥迪A3,1484323200,1494000000
奥迪A5,1484150400,1484496000
奥迪A6,1486396800,1499961600
奥迪Q3,1486224000,1486224000
帕萨特,1493568000,1493568000
帕萨特B4,1494345600,1496937600
日产蓝鸟U13轿车,1498060800,1498060800
机油泵驱动齿轮,1487779200,1487779200
松辽SLQ6502,1490889600,1496160000
松辽YJ6501,1486224000,1493740800
枭龙XL2060,1484409600,1503072000
桑塔纳,1496937600,1496937600
桑塔纳2000GSi,1498406400,1498406400
毕加索ABS,1488297600,1488297600
汉阳HY4320S半挂牵引车,1486224000,1500134400
汉阳HY473AS半挂牵引车,1483200000,1495123200
沈飞猎鹰,1485964800,1492704000
海虹QYJ5,1483200000,1499443200
燕京YJ6501,1484064000,1503072000
爱丽舍,1498924800,1498924800
猎豹飞腾,1484409600,1500220800
茶花KQC1042B,1483545600,1496160000
解放CA1090,1488211200,1496851200
解放CA1090汽车,1484236800,1484236800
解放CA1091汽车,1483545600,1483718400
解放CA1092汽车,1484236800,1484236800
赛欧,1497974400,1497974400
跃进NJ1041MS,1483200000,1499270400
远达SCZ3090CA,1497110400,1499961600
远达SCZ5090GJYEQ,1488988800,1500048000
远达SCZ5100,1485273600,1497542400
铁马XC2200,1486569600,1486569600
铁马XC2200方舱车,1484496000,1499616000
铁马XC2200舟桥车,1483200000,1496851200
铁马XC2200载重车,1483200000,1502294400
长丰猎豹,1469808000,1497715200
雪佛兰子弹头客车,1498060800,1498060800
雪佛兰柯西,1483718400,1483718400
风神蓝鸟,1494604800,1494604800
骊山LS6911,1493395200,1495900800
黄河DD3090JFZ,1497715200,1503072000
黄河DD5100GJY,1497715200,1497715200
黄河DD510GYY,1493568000,1500739200
