selected_equipment,S_tag_name,T_tag_name,doc_id,create_time
6105QC型,6105QC型,启动困难,2716,2017/4/21 0:00
6105QC型,6105QC型,没有阅读说明书,2716,2017/4/21 0:00
6105QC型,6105QC型,喷油泵,2716,2017/4/21 0:00
6105QC型,没有阅读说明书,启动困难,2716,2017/4/21 0:00
6105QC型,喷油泵,启动困难,2716,2017/4/21 0:00
6105QC型,启动困难,没有阅读说明书,2716,2017/4/21 0:00
6105QC型,喷油泵,没有阅读说明书,2716,2017/4/21 0:00
6105QC型,启动困难,喷油泵,2716,2017/4/21 0:00
6105QC型,没有阅读说明书,喷油泵,2716,2017/4/21 0:00
6105QC型,没有阅读说明书,6105QC型,2716,2017/4/21 0:00
6105QC型,喷油泵,6105QC型,2716,2017/4/21 0:00
6105QC型,启动困难,6105QC型,2716,2017/4/21 0:00
6110型,6110型,换挡困难,2717,2017/4/21 0:00
6110型,6110型,驾驶不当,2717,2017/4/21 0:00
6110型,6110型,喷油泵,2717,2017/4/21 0:00
6110型,驾驶不当,换挡困难,2717,2017/4/21 0:00
6110型,喷油泵,换挡困难,2717,2017/4/21 0:00
6110型,换挡困难,驾驶不当,2717,2017/4/21 0:00
6110型,喷油泵,驾驶不当,2717,2017/4/21 0:00
6110型,换挡困难,喷油泵,2717,2017/4/21 0:00
6110型,驾驶不当,喷油泵,2717,2017/4/21 0:00
6110型,驾驶不当,6110型,2717,2017/4/21 0:00
6110型,喷油泵,6110型,2717,2017/4/21 0:00
6110型,换挡困难,6110型,2717,2017/4/21 0:00
CA1092E运输车,CA1092E运输车,开锅故障,2645,2017/1/7 0:00
CA1092E运输车,CA1092E运输车,责任心不强,2645,2017/1/7 0:00
CA1092E运输车,CA1092E运输车,发动机,2645,2017/1/7 0:00
CA1092E运输车,责任心不强,开锅故障,2645,2017/1/7 0:00
CA1092E运输车,发动机,开锅故障,2645,2017/1/7 0:00
CA1092E运输车,开锅故障,责任心不强,2645,2017/1/7 0:00
CA1092E运输车,发动机,责任心不强,2645,2017/1/7 0:00
CA1092E运输车,开锅故障,发动机,2645,2017/1/7 0:00
CA1092E运输车,责任心不强,发动机,2645,2017/1/7 0:00
CA1092E运输车,责任心不强,CA1092E运输车,2645,2017/1/7 0:00
CA1092E运输车,发动机,CA1092E运输车,2645,2017/1/7 0:00
CA1092E运输车,开锅故障,CA1092E运输车,2645,2017/1/7 0:00
CA1092E运输车,CA1092E运输车,开锅故障,2741,2017/5/1 0:00
CA1092E运输车,CA1092E运输车,意外,2741,2017/5/1 0:00
CA1092E运输车,CA1092E运输车,发动机,2741,2017/5/1 0:00
CA1092E运输车,意外,开锅故障,2741,2017/5/1 0:00
CA1092E运输车,发动机,开锅故障,2741,2017/5/1 0:00
CA1092E运输车,开锅故障,意外,2741,2017/5/1 0:00
CA1092E运输车,发动机,意外,2741,2017/5/1 0:00
CA1092E运输车,开锅故障,发动机,2741,2017/5/1 0:00
CA1092E运输车,意外,发动机,2741,2017/5/1 0:00
CA1092E运输车,意外,CA1092E运输车,2741,2017/5/1 0:00
CA1092E运输车,发动机,CA1092E运输车,2741,2017/5/1 0:00
CA1092E运输车,开锅故障,CA1092E运输车,2741,2017/5/1 0:00
EQ1090E型汽车,EQ1090E型汽车,启动困难,2653,2017/1/13 0:00
EQ1090E型汽车,EQ1090E型汽车,责任心不强,2653,2017/1/13 0:00
EQ1090E型汽车,EQ1090E型汽车,二极管,2653,2017/1/13 0:00
EQ1090E型汽车,责任心不强,启动困难,2653,2017/1/13 0:00
EQ1090E型汽车,二极管,启动困难,2653,2017/1/13 0:00
EQ1090E型汽车,启动困难,责任心不强,2653,2017/1/13 0:00
EQ1090E型汽车,二极管,责任心不强,2653,2017/1/13 0:00
EQ1090E型汽车,启动困难,二极管,2653,2017/1/13 0:00
EQ1090E型汽车,责任心不强,二极管,2653,2017/1/13 0:00
EQ1090E型汽车,责任心不强,EQ1090E型汽车,2653,2017/1/13 0:00
EQ1090E型汽车,二极管,EQ1090E型汽车,2653,2017/1/13 0:00
EQ1090E型汽车,启动困难,EQ1090E型汽车,2653,2017/1/13 0:00
EQ1090E型汽车,EQ1090E型汽车,启动困难,2656,2017/1/30 0:00
