tag_name,create_time,tag_count,line_type
修理不当,2017/1/4,1,全部
修理不当,2017/1/11,1,全部
修理不当,2017/1/21,1,全部
修理不当,2017/2/27,1,全部
修理不当,2017/3/3,4,全部
修理不当,2017/4/29,1,全部
修理不当,2017/4/30,5,全部
修理不当,2017/5/10,1,全部
修理不当,2017/5/12,1,全部
修理不当,2017/5/19,1,全部
修理不当,2017/5/24,1,全部
修理不当,2017/5/29,1,全部
修理不当,2017/6/18,3,全部
修理不当,2017/6/22,1,全部
修理不当,2017/7/2,1,全部
修理不当,2017/7/3,1,全部
修理不当,2017/7/14,4,全部
修理不当,2017/7/23,2,全部
发动机,2017/2/8,1,全部
发动机,2017/3/9,1,全部
发动机,2017/3/12,8,全部
发动机,2017/3/25,1,全部
发动机,2017/3/28,1,全部
发动机,2017/4/9,10,全部
发动机,2017/4/23,1,全部
发动机,2017/4/25,1,全部
发动机,2017/5/3,3,全部
发动机,2017/5/21,1,全部
发动机,2017/5/28,1,全部
发动机,2017/6/3,2,全部
发动机,2017/6/8,3,全部
发动机,2017/6/16,1,全部
发动机,2017/6/20,1,全部
发动机,2017/6/25,1,全部
发动机,2017/7/6,1,全部
启动困难,2017/1/5,5,全部
启动困难,2017/1/12,1,全部
启动困难,2017/1/15,3,全部
启动困难,2017/1/16,3,全部
启动困难,2017/1/19,1,全部
启动困难,2017/1/30,6,全部
启动困难,2017/2/15,2,全部
启动困难,2017/3/2,1,全部
启动困难,2017/3/18,6,全部
启动困难,2017/3/30,5,全部
启动困难,2017/4/18,4,全部
启动困难,2017/4/20,1,全部
启动困难,2017/5/4,2,全部
启动困难,2017/5/13,17,全部
启动困难,2017/6/23,2,全部
启动困难,2017/7/16,4,全部
意外,2017/1/13,4,全部
意外,2017/1/22,1,全部
意外,2017/2/2,2,全部
意外,2017/2/19,7,全部
意外,2017/2/28,2,全部
意外,2017/3/10,1,全部
意外,2017/3/17,1,全部
意外,2017/3/26,2,全部
意外,2017/4/12,1,全部
意外,2017/5/5,1,全部
意外,2017/5/6,2,全部
意外,2017/5/23,1,全部
意外,2017/5/31,2,全部
意外,2017/6/9,1,全部
意外,2017/6/21,2,全部
意外,2017/6/26,2,全部
意外,2017/7/1,1,全部
意外,2017/7/5,1,全部
意外,2017/7/17,3,全部
意外,2017/8/1,3,全部
没有阅读说明书,2017/1/1,9,全部
没有阅读说明书,2017/1/7,2,全部
没有阅读说明书,2017/2/5,6,全部
没有阅读说明书,2017/2/26,1,全部
没有阅读说明书,2017/3/6,1,全部
没有阅读说明书,2017/3/13,1,全部
没有阅读说明书,2017/3/31,1,全部
没有阅读说明书,2017/4/10,1,全部
没有阅读说明书,2017/4/17,1,全部
没有阅读说明书,2017/4/21,18,全部
没有阅读说明书,2017/5/1,20,全部
没有阅读说明书,2017/5/2,1,全部
没有阅读说明书,2017/5/8,4,全部
没有阅读说明书,2017/6/4,4,全部
没有阅读说明书,2017/6/6,4,全部
没有阅读说明书,2017/8/19,3,全部
发动机,2017/1/7,1,器件
发动机,2017/1/16,1,器件
发动机,2017/1/30,1,器件
发动机,2017/2/2,1,器件
发动机,2017/2/5,3,器件
发动机,2017/2/8,1,器件
发动机,2017/2/28,1,器件
发动机,2017/3/3,2,器件
发动机,2017/3/9,1,器件
发动机,2017/3/18,1,器件
发动机,2017/3/25,1,器件
发动机,2017/3/26,1,器件
发动机,2017/3/28,1,器件
发动机,2017/4/9,7,器件
发动机,2017/4/21,7,器件
发动机,2017/4/23,1,器件
发动机,2017/4/25,1,器件
发动机,2017/4/30,1,器件
发动机,2017/5/1,10,器件
发动机,2017/5/8,1,器件
发动机,2017/5/13,10,器件
发动机,2017/5/21,1,器件
发动机,2017/5/28,1,器件
发动机,2017/5/31,1,器件
发动机,2017/6/3,1,器件
发动机,2017/6/4,2,器件
发动机,2017/6/6,2,器件
发动机,2017/6/8,1,器件
发动机,2017/6/16,1,器件
发动机,2017/6/18,1,器件
发动机,2017/6/20,1,器件
发动机,2017/6/21,1,器件
发动机,2017/6/25,1,器件
发动机,2017/6/26,1,器件
发动机,2017/7/23,1,器件
发动机,2017/8/1,1,器件
混合气,2017/1/1,7,器件
混合气,2017/1/2,1,器件
混合气,2017/2/19,3,器件
混合气,2017/3/6,1,器件
混合气,2017/7/22,1,器件
点火开关,2017/1/5,4,器件
点火开关,2017/2/1,1,器件
点火开关,2017/6/23,1,器件
点火开关,2017/7/1,1,器件
离合器,2017/3/12,5,器件
离合器,2017/4/5,2,器件
离合器,2017/4/18,1,器件
离合器,2017/5/3,3,器件
离合器,2017/5/5,1,器件
离合器,2017/5/12,1,器件
起动机,2017/1/18,1,器件
起动机,2017/1/25,1,器件
起动机,2017/3/30,4,器件
起动机,2017/3/31,1,器件
起动机,2017/4/4,2,器件
起动机,2017/4/14,1,器件
起动机,2017/5/9,1,器件
起动机,2017/7/6,2,器件
发动机故障,2017/3/17,1,故障
发动机故障,2017/4/17,1,故障
发动机故障,2017/4/19,1,故障
发动机故障,2017/5/6,3,故障
发动机故障,2017/5/23,1,故障
发动机故障,2017/5/26,3,故障
发动机故障,2017/5/29,3,故障
发动机故障,2017/6/11,2,故障
发动机故障,2017/6/18,1,故障
发动机故障,2017/6/21,1,故障
发动机故障,2017/7/10,1,故障
发动机故障,2017/7/17,3,故障
启动困难,2017/1/5,3,故障
启动困难,2017/1/12,1,故障
启动困难,2017/1/13,3,故障
启动困难,2017/1/15,3,故障
启动困难,2017/1/16,4,故障
启动困难,2017/1/19,1,故障
启动困难,2017/1/30,2,故障
启动困难,2017/2/15,1,故障
启动困难,2017/3/2,1,故障
启动困难,2017/3/18,2,故障
启动困难,2017/3/30,2,故障
启动困难,2017/4/18,1,故障
启动困难,2017/4/20,1,故障
启动困难,2017/4/21,5,故障
启动困难,2017/4/30,1,故障
启动困难,2017/5/4,1,故障
启动困难,2017/5/13,6,故障
启动困难,2017/6/23,1,故障
启动困难,2017/7/16,4,故障
怠速不稳,2017/1/1,8,故障
怠速不稳,2017/1/2,1,故障
怠速不稳,2017/2/7,1,故障
怠速不稳,2017/3/3,1,故障
怠速不稳,2017/3/6,1,故障
怠速不稳,2017/3/13,3,故障
怠速不稳,2017/4/12,1,故障
怠速不稳,2017/5/1,5,故障
怠速不稳,2017/5/2,1,故障
怠速不稳,2017/6/25,1,故障
怠速不稳,2017/7/14,3,故障
怠速不稳,2017/7/22,1,故障
水温高,2017/1/18,3,故障
水温高,2017/1/22,1,故障
水温高,2017/2/5,1,故障
水温高,2017/2/26,1,故障
水温高,2017/2/28,1,故障
水温高,2017/4/25,1,故障
水温高,2017/6/6,3,故障
行驶无力,2017/2/19,4,故障
行驶无力,2017/3/12,6,故障
行驶无力,2017/4/9,6,故障
不懂保养汽车,2017/1/5,3,行为
不懂保养汽车,2017/1/18,1,行为
不懂保养汽车,2017/1/19,1,行为
不懂保养汽车,2017/2/19,6,行为
不懂保养汽车,2017/2/26,2,行为
不懂保养汽车,2017/3/1,2,行为
不懂保养汽车,2017/4/3,2,行为
不懂保养汽车,2017/4/4,1,行为
不懂保养汽车,2017/4/5,1,行为
不懂保养汽车,2017/4/20,1,行为
不懂保养汽车,2017/5/9,2,行为
不懂保养汽车,2017/5/12,2,行为
