id,title,reason,description,create_time,equipment,location,gz_tag,qj_tag,xw_tag
2632,铁马XC2200舟桥车怠速不稳,经过冷静地分析，点火线圈有高压火，喷油器工作正常喷油。这种情况不能启动可能有两种原因,一辆铁马XC2200舟桥车，行驶里程超过14万km。该车怠速耸车，转速忽高忽低。,2017/1/1 0:00,铁马XC2200舟桥车,北京,怠速不稳,混合气,没有阅读说明书
2633,汉阳HY473AS半挂牵引车怠速不稳,经过冷静地分析，点火线圈有高压火，喷油器工作正常喷油。检查进气管路没有破损，拔掉四个 缸喷油器的电源控制插头，打马达，车启动了，但是3s后烧完进气道内剩余燃油又一次熄火。最后得出结论原因是混合气过稀。,一辆汉阳HY473AS半挂牵引车，行驶里程超过13万km。该车怠速耸车，转速忽高忽低。,2017/1/1 0:00,汉阳HY473AS半挂牵引车,北京,怠速不稳,混合气,操作分心
2634,铁马XC2200舟桥车怠速不稳,经过冷静地分析，点火线圈有高压火，喷油器工作正常喷油。插上喷油器电源手头，车启动了，但怠速时还是耸车，忽高忽低要熄火的样子。最后得出结论原因是混合气过浓。,一辆铁马XC2200舟桥车，行驶里程超过14万km。该车怠速耸车，转速忽高忽低。,2017/1/1 0:00,铁马XC2200舟桥车,北京,怠速不稳,混合气,驾驶不当
2635,ZSL92式轮式步兵战车启动困难,经过冷静地分析，点火线圈有问题，不定时出现打火失败的现象。更换之后就没有此现象的发生了。,一辆2000年8月出厂的ZSL92式轮式步兵战车，装备名称AEP直列4缸电喷发动机、排量1.8L，行驶1.7万km。早晨启动时，发动机启动困难，需多次启动才能成功。此现象己有半月有余。,2017/1/1 0:00,ZSL92式轮式步兵战车,北京,启动困难,点火器,粗心
2636,HY473（6×6）牵引车启动困难,更换点火开关该车冷启动正常，故障排除。点火开关工作不良的原因,HY473（6×6）牵引车行驶里程为16万km。近来该车常出现天冷不易启动，热车时启动正常。出现该故障现象后，在修车地的更换了各式原件，但故障依旧。最后向我服务站求救。,2017/1/1 0:00,HY473（6×6）牵引车,北京,启动困难,点火开关,修理不当
2637,东风铁甲启动困难,更换点火开关之后便冷启动正常。点火开关工作不良的原因,东风铁甲行驶里程为11万km。近来该车常出现寒冷天气不易启动的情况，非寒冷天气时启动正常。出现该故障现象后，在修车地更换了各式原件，但故障依旧。,2017/1/1 0:00,东风铁甲,北京,启动困难,点火开关,修理不当
2638,WZ901保安车启动困难,更换了点火开关后冷启动正常，故障已排除。点火开关工作不良的原因,WZ901保安车行驶里程为11万km。近来该车天冷不易启动，需要打火很久才能启动，而热天时则启动正常。出现该故障现象后，在修车厂进行过检修，更换了点火线圈、缸线、水温传感器等等，但故障依旧。,2017/1/5 0:00,WZ901保安车,北京,启动困难,点火开关,不懂保养汽车
2639,WJ94轮式装甲防暴车启动困难,更换了点火开关后冷启动正常，故障已排除。点火开关工作不良的原因,WJ94轮式装甲防暴车行驶里程为10万km。近来该车天冷不易启动，需要打火多次才能启动，而热天时则启动正常。出现该故障现象后，在修车厂进行过检修，更换了齿轮箱、中间轴、齿轮、挡杆拔叉等等，但故障依旧。,2017/1/5 0:00,WJ94轮式装甲防暴车,北京,启动困难,点火开关,粗心
2640,HY962半挂平板车启动困难,之后更换了点火开关，故障便排除。经过分析，原因是点火开关内部触点老化磨损，由接触不良导致电压下降，冷车电压下降致使该车难以启动。,"HY962半挂平板车行驶里程为1.7万km。近段时间此车天冷时不易启动，需要打火很多次才能启动，而正常天气时启动正常。出现该故障现象后进行过检修，更换了后桥,空气悬架系统,平衡块,钢板,轮胎,钢板弹簧等等，但故障依旧。",2017/1/5 0:00,HY962半挂平板车,北京,启动困难,点火开关,知道故障不修理
2641,解放CA1091汽车分电器盖窜气故障,一开始判断部分缸不工作，经断火试验后，一、五缸不工作，但在准备进一步检查火花塞工作时，无意中把一缸的高压线碰掉了，发现发动机的抖动现象减轻，再对五缸进行断火试验，其工作状态良好，把一缸的高压线接上后，发动机抖动明显，初步分析为一、五缸的窜电造成的，打开分电器盖检查，发现分电器盖一、五缸的旁插孔之间有一细小的裂纹。更换新的分电器盖，故障排除。,有一辆解放CA1091汽车，保养分时电器后试车时发现，发动机严重抖动，排气管冒黑烟，且汽车行驶无力。,2017/1/5 0:00,解放CA1091汽车,北京,分电器盖窜气故障,分电器盖,没有阅读说明书
2642,解放CA1091汽车分电器盖窜气故障,根据以上情况初步判断电路正常，故障就出在起动机上，对起动机进行拆检，发现起动机较脏，换向器有轻微的烧蚀，进一步检查没有发现其它问题，再装复试验，故障依旧，经过进一步分解检查，发现电枢绕组与转子轴脱焊，造成两者之间轴向移动，发生空转现象。对其脱焊处进行焊接处理，故障排除。,一辆解放CA1091汽车在行驶6万公里以后，出现起动机起动时打滑现象，驾驶员起初发现故障时，没有及时送修，最后导致起动机空转不能正常起动。,2017/1/5 0:00,解放CA1091汽车,北京,电枢轴脱焊造成起动机空转,电枢轴,不懂保养汽车
2643,解放CA1091汽车分电器盖窜气故障,首先怀疑是化油器有问题，对化油器平面、油道加浓装置全面检查，一切正常，拔出各缸分缸线进行跳火试验，火花强烈，电路不存在问题，又对各缸火花塞进行保养后再试车，故障依旧，用举升机把车架支起，发动车辆，踏下离合器，拔动变速杆均没有发现异常，但发现传动轴发出嘎嘎的声音，拆下传动轴进行 检查，发现一个十字轴严重磨损，滚针已折断三根，导致十字轴与滚针轴承配合松旷，导致发动机的动力不能全部地传给后桥，传动效率低，致使没耗增加，动力性下降。更换十字轴总成，故障排除。,一辆解放CA1091运输车，在平整的路上行驶，动力够用，但耗油量大，在上坡或重载等全负荷状态下行驶，动力不足。,2017/1/5 0:00,解放CA1091汽车,北京,万向十字轴磨损导致动力不足,万向十字轴,驾驶不当
