equipment,create_time,location,loc_count
6105QC型,"2017-04-21 00:00:00",北京,1
6110型,"2017-04-21 00:00:00",北京,1
CA1092E运输车,"2017-01-07 00:00:00",北京,1
CA1092E运输车,"2017-05-01 00:00:00",北京,1
EQ1090E型汽车,"2017-01-13 00:00:00",北京,1
EQ1090E型汽车,"2017-01-30 00:00:00",北京,1
EQ1090E型汽车,"2017-03-12 00:00:00",北京,1
EQ1090E型汽车,"2017-04-09 00:00:00",北京,1
EQ1090型汽车,"2017-01-13 00:00:00",北京,3
EQ1090型汽车,"2017-01-30 00:00:00",北京,5
EQ1090型汽车,"2017-02-05 00:00:00",北京,7
EQ1090型汽车,"2017-02-15 00:00:00",北京,6
EQ1090型汽车,"2017-02-19 00:00:00",北京,10
EQ1090型汽车,"2017-03-12 00:00:00",北京,7
EQ1090型汽车,"2017-03-30 00:00:00",北京,6
EQ1090型汽车,"2017-04-09 00:00:00",北京,4
EQ1090型汽车,"2017-04-21 00:00:00",北京,8
EQ1090油罐车,"2017-04-21 00:00:00",北京,1
EQ1090运水车,"2017-03-03 00:00:00",贵州,1
EQ1090运水车,"2017-05-21 00:00:00",湖北,1
EQ1091型汽车,"2017-05-01 00:00:00",北京,6
EQ1091型汽车,"2017-05-13 00:00:00",北京,3
EQ1092F1A型汽车,"2017-03-12 00:00:00",北京,1
EQ140型汽车,"2017-04-21 00:00:00",北京,1
EQ144型汽车,"2017-02-05 00:00:00",北京,1
EQ2080型汽车,"2017-03-12 00:00:00",北京,1
EQ2080型汽车,"2017-03-30 00:00:00",北京,1
EQ2102型,"2017-04-09 00:00:00",北京,1
EQ2102型,"2017-04-21 00:00:00",北京,1
EQ2102型汽车,"2017-04-09 00:00:00",北京,1
EQ240巡逻车,"2017-05-01 00:00:00",北京,1
EQ240巡逻车,"2017-06-04 00:00:00",浙江,1
EQ240巡逻车箭炮车,"2017-06-04 00:00:00",浙江,1
EQ245牵引车,"2017-02-28 00:00:00",湖北,1
EQll08G6D型柴油车,"2017-03-30 00:00:00",北京,1
EQll08G型柴油车,"2017-04-09 00:00:00",北京,1
EQll08G型汽车,"2017-03-30 00:00:00",西藏,1
EQll08G型车,"2017-04-09 00:00:00",北京,1
EQll08型柴油汽车,"2017-04-09 00:00:00",北京,1
HY473（6×6）牵引车,"2017-01-01 00:00:00",北京,1
HY473（6×6）牵引车,"2017-03-03 00:00:00",云南,1
HY962半挂平板车,"2017-01-05 00:00:00",北京,1
HY962半挂平板车,"2017-04-13 00:00:00",哈尔滨,1
HY962半挂平板车,"2017-05-13 00:00:00",广州,1
WJ94装甲防暴,"2017-03-28 00:00:00",珠海,1
WJ94装甲防暴,"2017-04-23 00:00:00",南京,1
WJ94装甲防暴,"2017-08-01 00:00:00",成都,1
WJ94装甲防暴车,"2017-02-03 00:00:00",兰州,1
WJ94装甲防暴车,"2017-03-30 00:00:00",贵州,1
WJ94轮式装甲防暴车,"2017-01-05 00:00:00",北京,1
WJ94轮式装甲防暴车,"2017-03-03 00:00:00",贵州,1
WJ94轮式装甲防暴车,"2017-05-01 00:00:00",北京,1
WJ94轮式装甲防暴车,"2017-05-13 00:00:00",广州,3
WS-1B自行火箭炮,"2017-06-06 00:00:00",北京,1
WS-1B自行火箭炮车,"2017-03-03 00:00:00",贵州,1
WS-1B自行火箭炮车,"2017-03-08 00:00:00",贵州,1
WZ901保安车,"2017-01-05 00:00:00",北京,1
WZ901保安车,"2017-02-02 00:00:00",太原,1
WZ901保安车,"2017-02-03 00:00:00",太原,1
WZ901保安车,"2017-03-06 00:00:00",天津,1
WZ901保安车,"2017-05-05 00:00:00",郑州,1
WZ901保安车,"2017-05-13 00:00:00",沈阳,1
WZ901保安车,"2017-06-02 00:00:00",浙江,1
WZ901保安车,"2017-06-03 00:00:00",保定,1
WZ901轮式装甲安全车,"2017-03-01 00:00:00",长春,1
WZ901轮式装甲安全车,"2017-03-03 00:00:00",沈阳,1
WZ901轮式装甲安全车,"2017-03-12 00:00:00",哈尔滨,1
WZ901轮式装甲安全车,"2017-05-08 00:00:00",南京,1
WZ901轮式装甲安全车,"2017-06-18 00:00:00",上海,1
WZ901轮式装甲安全车,"2017-07-14 00:00:00",河北,2
ZSL92式轮式步兵战车,"2017-01-01 00:00:00",北京,1
ZSL92式轮式步兵战车,"2017-03-03 00:00:00",北京,1
ZSL92式轮式步兵战车,"2017-04-30 00:00:00",南京,1
ZSL92式轮式步兵战车,"2017-05-12 00:00:00",乌鲁木齐,1
ZSL92式轮式步兵战车,"2017-05-23 00:00:00",苏州,1
ZSL92式轮式步兵战车,"2017-06-21 00:00:00",长沙,1
ZSL92式轮式步兵战车,"2017-07-17 00:00:00",贵州,1
ZSL92式轮式步兵战车,"2017-08-01 00:00:00",石家庄,1
一汽捷达,"2017-04-12 00:00:00",重庆,1
上汽奇瑞,"2017-05-10 00:00:00",上海,1
上海别克GL,"2017-01-01 00:00:00",河北,1
上海别克GL,"2017-02-21 00:00:00",哈尔滨,1
东风EQ1090E,"2017-01-21 00:00:00",扬州,1
东风EQ1090E,"2017-04-23 00:00:00",南京,1
东风EQ1090E,"2017-04-25 00:00:00",东营,1
东风EQ1090E,"2017-05-05 00:00:00",齐齐哈尔,1
东风EQ1091运输车,"2017-03-10 00:00:00",北京,1
东风EQ245,"2017-05-01 00:00:00",北京,1
东风勇士,"2017-02-02 00:00:00",北京,1
东风猛士,"2017-05-06 00:00:00",河南,1
东风猛士,"2017-05-06 00:00:00",辽宁,1
东风猛士,"2017-06-18 00:00:00",四川,1
东风猛士,"2017-07-18 00:00:00",四川,1
东风运水车,"2017-05-01 00:00:00",北京,1
东风运水车,"2017-05-04 00:00:00",湖北,1
东风运输车,"2017-05-01 00:00:00",北京,1
东风运输车,"2017-05-13 00:00:00",贵州,1
东风铁甲,"2017-01-01 00:00:00",北京,1
东风铁甲,"2017-01-30 00:00:00",北京,1
东风铁甲,"2017-03-12 00:00:00",北京,1
东风铁甲,"2017-05-13 00:00:00",沈阳,1
五岳TAZ3090,"2017-01-02 00:00:00",河北,1
五岳TAZ3090,"2017-01-16 00:00:00",河北,1
五岳TAZ3090,"2017-01-16 00:00:00",河南,1
五岳TAZ3090,"2017-01-16 00:00:00",辽宁,1
五岳TAZ3090,"2017-02-01 00:00:00",大连,1
五岳TAZ3090,"2017-02-05 00:00:00",深圳,1
五岳TAZ3090,"2017-02-27 00:00:00",四川,1
五岳TAZ3090,"2017-03-02 00:00:00",内蒙古,1
五岳TAZ3090,"2017-03-06 00:00:00",天津,1
五岳TAZ3090,"2017-03-13 00:00:00",上海,2
五岳TAZ3090,"2017-04-06 00:00:00",榆林,1
五岳TAZ3090,"2017-04-10 00:00:00",四川,1
