equipment,tag_name,tag_count,tag_type
6105QC型,喷油泵,6,器件
6105QC型,启动困难,6,故障
6105QC型,没有阅读说明书,6,行为
6110型,喷油泵,6,器件
6110型,换挡困难,6,故障
6110型,驾驶不当,6,行为
CA1092E运输车,发动机,24,器件
CA1092E运输车,开锅故障,24,故障
CA1092E运输车,责任心不强,12,行为
CA1092E运输车,意外,12,行为
EQ1090E型汽车,二极管,48,器件
EQ1090E型汽车,贮气筒,24,器件
EQ1090E型汽车,起动机,24,器件
EQ1090E型汽车,启动困难,96,故障
EQ1090E型汽车,责任心不强,24,行为
EQ1090E型汽车,没有阅读说明书,24,行为
EQ1090E型汽车,操作分心,24,行为
EQ1090E型汽车,知道故障不修理,24,行为
EQ1090型汽车,发动机,3024,器件
EQ1090型汽车,混合气,1008,器件
EQ1090型汽车,变速器,1008,器件
EQ1090型汽车,离合器,1008,器件
EQ1090型汽车,车垫,1008,器件
EQ1090型汽车,散热器,1008,器件
EQ1090型汽车,气缸,1008,器件
EQ1090型汽车,齿轮,1008,器件
EQ1090型汽车,发电机,1008,器件
EQ1090型汽车,电流表,672,器件
EQ1090型汽车,起动机,672,器件
EQ1090型汽车,起动机轴承,336,器件
EQ1090型汽车,汽油泵,336,器件
EQ1090型汽车,轴承,336,器件
EQ1090型汽车,钢板销衬套,336,器件
EQ1090型汽车,水箱盖,336,器件
EQ1090型汽车,电器传动轴,336,器件
EQ1090型汽车,曲轴箱通风单向阀,336,器件
EQ1090型汽车,火花塞,336,器件
EQ1090型汽车,机油泵,336,器件
EQ1090型汽车,曲轴箱,336,器件
EQ1090型汽车,保险丝,336,器件
EQ1090型汽车,方向盘,336,器件
EQ1090型汽车,点火线圈,336,器件
EQ1090型汽车,制动器,336,器件
EQ1090型汽车,垫板,336,器件
EQ1090型汽车,分缸线,336,器件
EQ1090型汽车,化油器,336,器件
EQ1090型汽车,蓄电池,336,器件
EQ1090型汽车,垫片,336,器件
EQ1090型汽车,启动困难,3024,故障
EQ1090型汽车,行驶无力,2016,故障
EQ1090型汽车,异响,1680,故障
EQ1090型汽车,开锅,1008,故障
EQ1090型汽车,"起动困难 ",1008,故障
EQ1090型汽车,爆燃,672,故障
EQ1090型汽车,换挡困难,672,故障
EQ1090型汽车,齿轮损坏,672,故障
EQ1090型汽车,容易熄火,672,故障
EQ1090型汽车,气缸盖锈穿,336,故障
EQ1090型汽车,汽油泵故障,336,故障
EQ1090型汽车,漏油,336,故障
EQ1090型汽车,行驶摇头,336,故障
EQ1090型汽车,漏水,336,故障
EQ1090型汽车,发动机固定螺栓松脱,336,故障
EQ1090型汽车,电器传动轴松动,336,故障
EQ1090型汽车,冒黑烟,336,故障
EQ1090型汽车,变速器跳挡,336,故障
EQ1090型汽车,大量漏油,336,故障
EQ1090型汽车,熄火困难,336,故障
EQ1090型汽车,车灯不亮,336,故障
EQ1090型汽车,转向困难,336,故障
EQ1090型汽车,怠速不稳,336,故障
EQ1090型汽车,方向盘故障,336,故障
EQ1090型汽车,触点烧蚀,336,故障
EQ1090型汽车,耗油过大,336,故障
EQ1090型汽车,气缸盖碗形塞锈穿,336,故障
EQ1090型汽车,分缸线故障,336,故障
EQ1090型汽车,发电机故障,336,故障
EQ1090型汽车,蓄电池损坏,336,故障
EQ1090型汽车,跳挡,336,故障
EQ1090型汽车,上次修理失当,3024,行为
EQ1090型汽车,没有阅读说明书,2352,行为
EQ1090型汽车,操作分心,2352,行为
EQ1090型汽车,驾驶不当,2016,行为
EQ1090型汽车,修理不当,2016,行为
EQ1090型汽车,责任心不强,1344,行为
EQ1090型汽车,不定时检查车况,1344,行为
EQ1090型汽车,知道故障不修理,1344,行为
EQ1090型汽车,意外,1344,行为
EQ1090型汽车,不懂保养汽车,1008,行为
EQ1090型汽车,粗心,672,行为
EQ1090油罐车,飞轮,6,器件
EQ1090油罐车,飞轮损坏,6,故障
EQ1090油罐车,意外,6,行为
EQ1090运水车,绝缘垫,12,器件
EQ1090运水车,发动机,12,器件
EQ1090运水车,电路故障,12,故障
EQ1090运水车,冒黑烟，动力不足,12,故障
EQ1090运水车,修理不当,12,行为
EQ1090运水车,责任心不强,12,行为
EQ1091型汽车,发动机,378,器件
EQ1091型汽车,变速器,108,器件
EQ1091型汽车,行驶无力,216,故障
EQ1091型汽车,异响,108,故障
EQ1091型汽车,变速困难,108,故障
EQ1091型汽车,怠速不稳,54,故障
EQ1091型汽车,责任心不强,216,行为
EQ1091型汽车,修理不当,108,行为
EQ1091型汽车,上次修理失当,54,行为
EQ1091型汽车,知道故障不修理,54,行为
EQ1091型汽车,意外,54,行为
EQ1092F1A型汽车,贮气筒,6,器件
EQ1092F1A型汽车,行驶无力,6,故障
EQ1092F1A型汽车,意外,6,行为
EQ140型汽车,起动机,6,器件
EQ140型汽车,启动困难,6,故障
EQ140型汽车,意外,6,行为
EQ144型汽车,轮胎,6,器件
EQ144型汽车,轮胎异常,6,故障
EQ144型汽车,操作分心,6,行为
EQ2080型汽车,起动机,12,器件
EQ2080型汽车,发动机,12,器件
EQ2080型汽车,启动困难,12,故障
EQ2080型汽车,容易熄火,12,故障
EQ2080型汽车,不懂保养汽车,24,行为
EQ2102型,制动阀,12,器件
EQ2102型,发动机,12,器件
EQ2102型,行驶无力,12,故障
EQ2102型,启动困难,12,故障
EQ2102型,责任心不强,12,行为
EQ2102型,意外,12,行为
EQ2102型汽车,发动机,6,器件
EQ2102型汽车,启动困难,6,故障
EQ2102型汽车,修理不当,6,行为
EQ240巡逻车,发动机,24,器件
EQ240巡逻车,动力不足,12,故障
EQ240巡逻车,"起动困难 ",12,故障
EQ240巡逻车,知道故障不修理,12,行为
EQ240巡逻车,驾驶不当,12,行为
EQ240巡逻车箭炮车,螺母,6,器件
EQ240巡逻车箭炮车,化油器异响,6,故障
EQ240巡逻车箭炮车,没有阅读说明书,6,行为
EQ245牵引车,五缸连杆瓦,6,器件
EQ245牵引车,发动机异响,6,故障
EQ245牵引车,粗心,6,行为
EQll08G6D型柴油车,储油罐,6,器件
EQll08G6D型柴油车,换挡困难,6,故障
EQll08G6D型柴油车,驾驶不当,6,行为
EQll08G型柴油车,车灯,6,器件
EQll08G型柴油车,车灯不亮,6,故障
EQll08G型柴油车,驾驶不当,6,行为
EQll08G型汽车,离合器,6,器件
EQll08G型汽车,换挡困难,6,故障
EQll08G型汽车,粗心,6,行为
EQll08G型车,车灯,6,器件
EQll08G型车,车灯不亮,6,故障
EQll08G型车,没有阅读说明书,6,行为
EQll08型柴油汽车,发动机,6,器件
EQll08型柴油汽车,行驶无力,6,故障
EQll08型柴油汽车,不定时检查车况,6,行为
HY473（6×6）牵引车,点火开关,12,器件
HY473（6×6）牵引车,单向阀弹簧,12,器件
HY473（6×6）牵引车,启动困难,12,故障
HY473（6×6）牵引车,"起动困难 ",12,故障
HY473（6×6）牵引车,修理不当,12,行为
HY473（6×6）牵引车,知道故障不修理,12,行为
HY962半挂平板车,点火开关,18,器件
HY962半挂平板车,发动机,18,器件
HY962半挂平板车,喷油泵,18,器件
HY962半挂平板车,启动困难,18,故障
HY962半挂平板车,动力不足,18,故障
HY962半挂平板车,柱塞锈蚀,18,故障
HY962半挂平板车,知道故障不修理,18,行为
HY962半挂平板车,上次修理失当,18,行为
HY962半挂平板车,操作分心,18,行为
WJ94装甲防暴,发动机,36,器件
WJ94装甲防暴,万向十字轴,18,器件
WJ94装甲防暴,动力不足,18,故障
WJ94装甲防暴,发动机不能启动,18,故障
WJ94装甲防暴,发动机无法启动,18,故障
WJ94装甲防暴,意外,18,行为
WJ94装甲防暴,不定时检查车况,18,行为
WJ94装甲防暴,粗心,18,行为
WJ94装甲防暴车,冷却系统,12,器件
WJ94装甲防暴车,转向灯,12,器件
WJ94装甲防暴车,加速时有节奏的异响,12,故障
WJ94装甲防暴车,转向灯点亮时闪烁的频率比平时快,12,故障
WJ94装甲防暴车,没有阅读说明书,12,行为
WJ94装甲防暴车,粗心,12,行为
WJ94轮式装甲防暴车,发动机,144,器件
WJ94轮式装甲防暴车,点火开关,36,器件
WJ94轮式装甲防暴车,变速器,36,器件
WJ94轮式装甲防暴车,动力不足,108,故障
WJ94轮式装甲防暴车,启动困难,36,故障
WJ94轮式装甲防暴车,冒黑烟,36,故障
WJ94轮式装甲防暴车,燃润料消耗异常,36,故障
WJ94轮式装甲防暴车,没有阅读说明书,108,行为
WJ94轮式装甲防暴车,粗心,36,行为
WJ94轮式装甲防暴车,操作分心,36,行为
WJ94轮式装甲防暴车,知道故障不修理,36,行为
WS-1B自行火箭炮,排气系统,6,器件
WS-1B自行火箭炮,怠速不稳,6,故障
WS-1B自行火箭炮,不懂保养汽车,6,行为
WS-1B自行火箭炮车,冷却系统,12,器件
WS-1B自行火箭炮车,螺钉,12,器件
WS-1B自行火箭炮车,过热现象,12,故障
WS-1B自行火箭炮车,耗油量明显增加、运行中加速不良,12,故障
WS-1B自行火箭炮车,驾驶不当,12,行为
WS-1B自行火箭炮车,知道故障不修理,12,行为
WZ901保安车,点火开关,48,器件
WZ901保安车,发动机,48,器件
WZ901保安车,水箱,48,器件
WZ901保安车,气缸,48,器件
WZ901保安车,分离轴,48,器件
WZ901保安车,火线圈，点火开关,48,器件
WZ901保安车,排气管,48,器件
WZ901保安车,变速器,48,器件
WZ901保安车,启动困难,96,故障
WZ901保安车,水箱“开锅”,48,故障
WZ901保安车,气缸不工作,48,故障
WZ901保安车,分离轴承烧蚀引发的故障,48,故障
WZ901保安车,爬坡无力,48,故障
WZ901保安车,排气管冒黑烟,48,故障
WZ901保安车,变速器出现齿轮撞击声,48,故障
WZ901保安车,上次修理失当,96,行为
WZ901保安车,不懂保养汽车,48,行为
WZ901保安车,修理不当,48,行为
WZ901保安车,驾驶不当,48,行为
WZ901保安车,知道故障不修理,48,行为
WZ901保安车,粗心,48,行为
WZ901保安车,意外,48,行为
WZ901轮式装甲安全车,三元催化转换器,42,器件
WZ901轮式装甲安全车,气缸垫,42,器件
WZ901轮式装甲安全车,履带,42,器件
WZ901轮式装甲安全车,消声器,42,器件
WZ901轮式装甲安全车,单缸,42,器件
WZ901轮式装甲安全车,交流发电机,42,器件
WZ901轮式装甲安全车,排气管,42,器件
WZ901轮式装甲安全车,怠速不稳,42,故障
WZ901轮式装甲安全车,启动困难,42,故障
WZ901轮式装甲安全车,履带断裂,42,故障
