tag_name,create_time,tag_count,line_type
修理不当,"2017-01-04 00:00:00",1,全部
修理不当,"2017-01-11 00:00:00",1,全部
修理不当,"2017-01-21 00:00:00",1,全部
修理不当,"2017-02-27 00:00:00",1,全部
修理不当,"2017-03-03 00:00:00",4,全部
修理不当,"2017-04-29 00:00:00",1,全部
修理不当,"2017-04-30 00:00:00",5,全部
修理不当,"2017-05-10 00:00:00",1,全部
修理不当,"2017-05-12 00:00:00",1,全部
修理不当,"2017-05-19 00:00:00",1,全部
修理不当,"2017-05-24 00:00:00",1,全部
修理不当,"2017-05-29 00:00:00",1,全部
修理不当,"2017-06-18 00:00:00",3,全部
修理不当,"2017-06-22 00:00:00",1,全部
修理不当,"2017-07-02 00:00:00",1,全部
修理不当,"2017-07-03 00:00:00",1,全部
修理不当,"2017-07-14 00:00:00",4,全部
修理不当,"2017-07-23 00:00:00",2,全部
发动机,"2017-02-08 00:00:00",1,全部
发动机,"2017-03-09 00:00:00",1,全部
发动机,"2017-03-12 00:00:00",8,全部
发动机,"2017-03-25 00:00:00",1,全部
发动机,"2017-03-28 00:00:00",1,全部
发动机,"2017-04-09 00:00:00",10,全部
发动机,"2017-04-23 00:00:00",1,全部
发动机,"2017-04-25 00:00:00",1,全部
发动机,"2017-05-03 00:00:00",3,全部
发动机,"2017-05-21 00:00:00",1,全部
发动机,"2017-05-28 00:00:00",1,全部
发动机,"2017-06-03 00:00:00",2,全部
发动机,"2017-06-08 00:00:00",3,全部
发动机,"2017-06-16 00:00:00",1,全部
发动机,"2017-06-20 00:00:00",1,全部
发动机,"2017-06-25 00:00:00",1,全部
发动机,"2017-07-06 00:00:00",1,全部
启动困难,"2017-01-05 00:00:00",5,全部
启动困难,"2017-01-12 00:00:00",1,全部
启动困难,"2017-01-15 00:00:00",3,全部
启动困难,"2017-01-16 00:00:00",3,全部
启动困难,"2017-01-19 00:00:00",1,全部
启动困难,"2017-01-30 00:00:00",6,全部
启动困难,"2017-02-15 00:00:00",2,全部
启动困难,"2017-03-02 00:00:00",1,全部
启动困难,"2017-03-18 00:00:00",6,全部
启动困难,"2017-03-30 00:00:00",5,全部
启动困难,"2017-04-18 00:00:00",4,全部
启动困难,"2017-04-20 00:00:00",1,全部
启动困难,"2017-05-04 00:00:00",2,全部
启动困难,"2017-05-13 00:00:00",17,全部
启动困难,"2017-06-23 00:00:00",2,全部
启动困难,"2017-07-16 00:00:00",4,全部
意外,"2017-01-13 00:00:00",4,全部
意外,"2017-01-22 00:00:00",1,全部
意外,"2017-02-02 00:00:00",2,全部
意外,"2017-02-19 00:00:00",7,全部
