tag_id,tag_name,tag_count
302,发动机,73
285,启动困难,48
281,没有阅读说明书,43
288,修理不当,43
309,意外,42
283,操作分心,42
290,不懂保养汽车,38
314,上次修理失当,36
284,驾驶不当,34
301,责任心不强,33
291,知道故障不修理,30
304,不定时检查车况,30
286,粗心,30
280,怠速不稳,27
404,发动机故障,19
362,起动机,14
317,行驶无力,13
282,混合气,11
391,水温高,11
358,离合器,10
289,点火开关,9
348,变速器,9
313,异响,8
345,冒黑烟,8
385,熄火,8
386,排气管,8
382,动力不足,7
334,"起动困难 ",6
403,发动机异响,6
340,发电机,6
369,换挡困难,5
333,齿轮,5
321,气缸,5
343,化油器,5
351,蓄电池,5
361,保险丝,5
368,容易熄火,4
359,开锅,4
383,电脑模块,4
393,节温器,4
466,交流发电机充电电流不稳定,4
459,发动机动力不足,4
417,螺栓,4
490,离合器故障,4
377,喷油泵,4
376,散热器,4
553,排气管冒黑烟,4
319,二极管,3
360,车灯不亮,3
365,车垫,3
307,消音器,3
346,火花塞,3
448,正时齿轮发响,3
449,正时齿轮,3
461,离合器异响,3
421,气缸垫,3
405,搭铁线,3
306,消声器爆裂,3
310,水箱,3
540,冷启动困难,3
445,油箱,3
372,点火线圈,3
374,制动阀,3
425,空调故障,3
605,空调,3
458,发动机无法启动,3
398,曲轴,3
332,齿轮损坏,2
335,电流表,2
349,爆燃,2
363,贮气筒,2
373,车灯,2
381,变速困难,2
300,开锅故障,2
389,氧传感器,2
390,进油管,2
412,风扇叶片,2
437,水泵,2
409,充电指示灯不熄灭,2
456,喷油器,2
337,轮胎,2
464,转向沉重,2
467,传动皮带,2
387,发动机噪声大,2
399,制动跑偏,2
435,凸轮轴,2
485,螺帽,2
406,风扇皮带,2
339,发电机故障,2
498,冷却系统,2
380,飞轮,2
316,起动机轴承,2
327,轴承,2
526,点火困难,2
527,喷油头,2
569,消声器,2
297,万向十字轴,2
516,电路故障,2
545,刹车失灵,2
546,刹车线,2
550,发动机机油消耗量过大,2
557,水箱“开锅”,2
558,充电指示灯不灭,2
559,充电指示灯,2
556,汽油消耗量过大,2
543,履带断裂,2
544,履带,2
293,分电器盖,2
311,发动机工作不良,2
470,起动机转动无力,2
298,活塞环折断,2
375,制动器,2
619,排除气阻故障,2
574,制动阀漏气故障,2
587,蓄电池突然损坏,2
441,输油泵故障,2
442,输出泵,2
433,链条,2
650,发动机启动困难,2
388,点火控制器,2
621,柴油机,2
597,气门,2
657,水温表,2
287,点火器,1
292,分电器盖窜气故障,1
294,电枢轴脱焊造成起动机空转,1
295,电枢轴,1
296,万向十字轴磨损导致动力不足,1
299,活塞,1
303,机油尺屡次跳出,1
305,机油尺,1
