selected_tag_name,min_time,max_time
PCV阀,1486396800,1486396800
“哧哧”声,1499616000,1499616000
万向十字轴,1483545600,1501516800
万向十字轴磨损导致动力不足,1483545600,1483545600
三元催化器,1499961600,1499961600
三元催化转换器,1499961600,1499961600
上次修理失当,1469808000,1500739200
不定时检查车况,1483718400,1502294400
不懂保养汽车,1483286400,1500134400
不能启动,1493481600,1493481600
不能起动,1498060800,1498060800
中控锁故障,1492531200,1492531200
中控门锁,1486224000,1486224000
中控门锁突然失灵故障,1486224000,1486224000
二极管,1484236800,1485705600
二极管接线螺杆,1484668800,1484668800
五缸连杆瓦,1488211200,1488211200
交流发电机,1488297600,1488297600
交流发电机不发电故障,1488297600,1488297600
交流发电机充电电流不稳定,1488124800,1502294400
从动盘,1497715200,1497715200
仪表不显示,1488038400,1488038400
传动皮带,1500307200,1502294400
低压管,1499961600,1499961600
使用制动后不发电,1494172800,1494172800
保险丝,1484496000,1493481600
信号线,1499961600,1499961600
修理不当,1483200000,1500739200
倒车灯不亮,1492012800,1492012800
储油罐,1490803200,1490803200
充电指示灯,1485964800,1491408000
充电指示灯不灭,1485964800,1491408000
充电指示灯不熄灭,1484668800,1485100800
冒黑烟,1483459200,1494864000
冒黑烟，动力不足,1495296000,1495296000
冷却系统,1488470400,1490803200
冷却系统故障,1485100800,1485100800
冷启动困难,1485878400,1498838400
凸轮轴,1495728000,1500393600
凸轮轴承,1494000000,1494000000
凸轮轴轴,1495728000,1495728000
凸轮轴轴承响,1495728000,1495728000
分电器,1484409600,1484409600
分电器断电臂,1494518400,1494518400
分电器盖,1483545600,1493049600
分电器盖窜气故障,1483545600,1483545600
分电器盖窜电,1493049600,1493049600
分离轴,1488729600,1488729600
分离轴承,1503072000,1503072000
分离轴承烧蚀引发的故障,1488729600,1488729600
分缸线,1485705600,1485705600
分缸线故障,1485705600,1485705600
刚大修的发动机严重烧润滑铀,1500739200,1500739200
制动不灵敏,1498406400,1498406400
制动器,1486224000,1491667200
制动时熄火,1488729600,1488729600
制动毂，蹄片,1484409600,1484409600
制动气压不足,1483545600,1483545600
制动液,1498406400,1498406400
制动液温度过高，刹车失灵,1484409600,1484409600
制动跑偏,1489766400,1489852800
制动跑偏故障,1486224000,1486224000
制动踏板,1496851200,1496851200
制动阀,1491667200,1499356800
制动阀漏气故障,1493740800,1499356800
刹车失灵,1491148800,1499011200
刹车线,1491148800,1499011200
加速时有节奏的异响,1490803200,1490803200
