selected_tag_name,p_tag_name,p_tag_type,create_time
PCV阀,不定时检查车况,行为,1486396800
PCV阀,PCV阀,器件,1486396800
PCV阀,怠速不稳,故障,1486396800
“哧哧”声,“哧哧”声,故障,1499616000
“哧哧”声,不懂保养汽车,行为,1499616000
“哧哧”声,气泵一轴承,器件,1499616000
万向十字轴,万向十字轴,器件,1483545600
万向十字轴,万向十字轴磨损导致动力不足,故障,1483545600
万向十字轴,万向十字轴,器件,1501516800
万向十字轴,动力不足,故障,1501516800
万向十字轴,驾驶不当,行为,1483545600
万向十字轴,意外,行为,1501516800
万向十字轴磨损导致动力不足,万向十字轴,器件,1483545600
万向十字轴磨损导致动力不足,万向十字轴磨损导致动力不足,故障,1483545600
万向十字轴磨损导致动力不足,驾驶不当,行为,1483545600
三元催化器,没有阅读说明书,行为,1499961600
三元催化器,三元催化器,器件,1499961600
三元催化器,自动变速器不跳四档故障,故障,1499961600
三元催化转换器,修理不当,行为,1499961600
三元催化转换器,三元催化转换器,器件,1499961600
三元催化转换器,怠速不稳,故障,1499961600
上次修理失当,上次修理失当,行为,1484236800
上次修理失当,垫板,器件,1484236800
上次修理失当,上次修理失当,行为,1485705600
上次修理失当,气缸,器件,1485705600
上次修理失当,分缸线,器件,1485705600
上次修理失当,上次修理失当,行为,1486224000
上次修理失当,齿轮,器件,1486224000
上次修理失当,发动机,器件,1486224000
上次修理失当,上次修理失当,行为,1487088000
上次修理失当,发电机,器件,1487088000
上次修理失当,化油器,器件,1487088000
上次修理失当,上次修理失当,行为,1490803200
上次修理失当,发动机,器件,1490803200
上次修理失当,发电机,器件,1490803200
上次修理失当,上次修理失当,行为,1493568000
上次修理失当,发动机,器件,1493568000
上次修理失当,上次修理失当,行为,1494604800
上次修理失当,发动机,器件,1494604800
上次修理失当,动力不足,故障,1494604800
上次修理失当,上次修理失当,行为,1493827200
上次修理失当,启动困难,故障,1493827200
上次修理失当,上次修理失当,行为,1494000000
上次修理失当,凸轮轴承,器件,1494000000
上次修理失当,上次修理失当,行为,1496678400
上次修理失当,水温高,故障,1496678400
上次修理失当,上次修理失当,行为,1484496000
上次修理失当,保险丝,器件,1484496000
上次修理失当,发动机故障,故障,1484496000
上次修理失当,上次修理失当,行为,1492012800
上次修理失当,倒车灯不亮,故障,1492012800
上次修理失当,上次修理失当,行为,1494777600
上次修理失当,灯常亮,故障,1494777600
上次修理失当,上次修理失当,行为,1469808000
上次修理失当,油箱,器件,1469808000
上次修理失当,上次修理失当,行为,1484668800
上次修理失当,喷油器,器件,1484668800
上次修理失当,上次修理失当,行为,1489766400
上次修理失当,启动困难,故障,1489766400
上次修理失当,汽缸垫,器件,1489766400
上次修理失当,上次修理失当,行为,1497974400
上次修理失当,发动机故障,故障,1497974400
上次修理失当,上次修理失当,行为,1485100800
上次修理失当,冷却系统故障,故障,1485100800
上次修理失当,上次修理失当,行为,1496332800
上次修理失当,火线圈，点火开关,器件,1496332800
上次修理失当,上次修理失当,行为,1483718400
上次修理失当,喷油头,器件,1483718400
上次修理失当,上次修理失当,行为,1486483200
上次修理失当,发动机,器件,1486483200
上次修理失当,上次修理失当,行为,1488729600
上次修理失当,制动时熄火,故障,1488729600
上次修理失当,上次修理失当,行为,1490889600
上次修理失当,起动机,器件,1490889600
上次修理失当,上次修理失当,行为,1500739200
上次修理失当,刚大修的发动机严重烧润滑铀,故障,1500739200
上次修理失当,上次修理失当,行为,1486051200
上次修理失当,变速器,器件,1486051200
上次修理失当,上次修理失当,行为,1495900800
上次修理失当,发动不着,故障,1495900800
上次修理失当,发动机,器件,1497974400
上次修理失当,异响,故障,1484236800
上次修理失当,气缸盖碗形塞锈穿,故障,1485705600
上次修理失当,分缸线故障,故障,1485705600
上次修理失当,齿轮损坏,故障,1486224000
上次修理失当,发动机固定螺栓松脱,故障,1486224000
上次修理失当,发电机故障,故障,1487088000
上次修理失当,"起动困难 ",故障,1487088000
上次修理失当,怠速不稳,故障,1490803200
上次修理失当,容易熄火,故障,1490803200
上次修理失当,异响,故障,1493568000
上次修理失当,启动困难,故障,1493568000
上次修理失当,启动困难,故障,1494604800
上次修理失当,进油管,器件,1493827200
上次修理失当,发动机故障,故障,1494000000
上次修理失当,风扇叶片,器件,1496678400
上次修理失当,启动困难,故障,1484496000
上次修理失当,电脑模块,器件,1484496000
上次修理失当,搭铁线,器件,1492012800
上次修理失当,线,器件,1494777600
上次修理失当,熄火,故障,1469808000
上次修理失当,怠速不稳,故障,1484668800
上次修理失当,气缸垫,器件,1489766400
上次修理失当,熄火，发动不着,故障,1489766400
上次修理失当,轴承盖螺栓,器件,1497974400
上次修理失当,引擎,器件,1485100800
上次修理失当,爬坡无力,故障,1496332800
上次修理失当,点火困难,故障,1483718400
上次修理失当,发动机机油压力指示表显示异常,故障,1486483200
上次修理失当,真空阀,器件,1488729600
上次修理失当,起动系疑难故障,故障,1490889600
上次修理失当,发动机,器件,1500739200
上次修理失当,变速器出现齿轮撞击声,故障,1486051200
上次修理失当,发动机,器件,1495900800
上次修理失当,发动机启动困难,故障,1497974400
不定时检查车况,不定时检查车况,行为,1483718400
不定时检查车况,机油尺,器件,1483718400
不定时检查车况,不定时检查车况,行为,1485705600
不定时检查车况,二极管,器件,1485705600
