tag_id,tag_name,tag_count,tag_type
302,发动机,73,器件
285,启动困难,48,故障
281,没有阅读说明书,43,行为
288,修理不当,43,行为
309,意外,42,行为
283,操作分心,42,行为
290,不懂保养汽车,38,行为
314,上次修理失当,36,行为
284,驾驶不当,34,行为
301,责任心不强,33,行为
291,知道故障不修理,30,行为
304,不定时检查车况,30,行为
286,粗心,30,行为
280,怠速不稳,27,故障
404,发动机故障,19,故障
362,起动机,14,器件
317,行驶无力,13,故障
282,混合气,11,器件
391,水温高,11,故障
358,离合器,10,器件
289,点火开关,9,器件
348,变速器,9,器件
313,异响,8,故障
345,冒黑烟,8,故障
385,熄火,8,故障
386,排气管,8,器件
382,动力不足,7,故障
334,"起动困难 ",6,故障
403,发动机异响,6,故障
340,发电机,6,器件
369,换挡困难,5,故障
333,齿轮,5,器件
321,气缸,5,器件
343,化油器,5,器件
351,蓄电池,5,器件
361,保险丝,5,器件
368,容易熄火,4,故障
359,开锅,4,故障
383,电脑模块,4,器件
393,节温器,4,器件
466,交流发电机充电电流不稳定,4,故障
459,发动机动力不足,4,故障
417,螺栓,4,器件
490,离合器故障,4,故障
377,喷油泵,4,器件
376,散热器,4,器件
553,排气管冒黑烟,4,故障
319,二极管,3,器件
360,车灯不亮,3,故障
365,车垫,3,器件
307,消音器,3,器件
346,火花塞,3,器件
448,正时齿轮发响,3,故障
449,正时齿轮,3,器件
461,离合器异响,3,故障
421,气缸垫,3,器件
405,搭铁线,3,器件
306,消声器爆裂,3,故障
310,水箱,3,器件
540,冷启动困难,3,故障
445,油箱,3,器件
372,点火线圈,3,器件
374,制动阀,3,器件
425,空调故障,3,故障
605,空调,3,器件
458,发动机无法启动,3,故障
398,曲轴,3,器件
332,齿轮损坏,2,故障
335,电流表,2,器件
349,爆燃,2,故障
363,贮气筒,2,器件
373,车灯,2,器件
381,变速困难,2,故障
300,开锅故障,2,故障
389,氧传感器,2,器件
390,进油管,2,器件
412,风扇叶片,2,器件
437,水泵,2,器件
409,充电指示灯不熄灭,2,故障
456,喷油器,2,器件
337,轮胎,2,器件
464,转向沉重,2,故障
467,传动皮带,2,器件
387,发动机噪声大,2,故障
399,制动跑偏,2,故障
435,凸轮轴,2,器件
485,螺帽,2,器件
406,风扇皮带,2,器件
339,发电机故障,2,故障
498,冷却系统,2,器件
380,飞轮,2,器件
316,起动机轴承,2,器件
327,轴承,2,器件
526,点火困难,2,故障
527,喷油头,2,器件
569,消声器,2,器件
297,万向十字轴,2,器件
516,电路故障,2,故障
545,刹车失灵,2,故障
546,刹车线,2,器件
550,发动机机油消耗量过大,2,故障
557,水箱“开锅”,2,故障
558,充电指示灯不灭,2,故障
559,充电指示灯,2,器件
556,汽油消耗量过大,2,故障
543,履带断裂,2,故障
544,履带,2,器件
293,分电器盖,2,器件
311,发动机工作不良,2,故障
470,起动机转动无力,2,故障
298,活塞环折断,2,故障
375,制动器,2,器件
619,排除气阻故障,2,故障
574,制动阀漏气故障,2,故障
587,蓄电池突然损坏,2,故障
441,输油泵故障,2,故障
442,输出泵,2,器件
433,链条,2,器件
650,发动机启动困难,2,故障
388,点火控制器,2,器件
621,柴油机,2,器件
597,气门,2,器件
657,水温表,2,器件
287,点火器,1,器件
292,分电器盖窜气故障,1,故障
294,电枢轴脱焊造成起动机空转,1,故障
295,电枢轴,1,器件
296,万向十字轴磨损导致动力不足,1,故障
299,活塞,1,器件
303,机油尺屡次跳出,1,故障
305,机油尺,1,器件
308,水箱开锅,1,故障
312,燃爆限制器,1,器件
315,垫板,1,器件
318,汽油泵,1,器件
320,气缸盖碗形塞锈穿,1,故障
322,气缸盖锈穿,1,故障
323,汽油泵故障,1,故障
324,分缸线故障,1,故障
325,分缸线,1,器件
326,漏油,1,故障
328,行驶摇头,1,故障
329,钢板销衬套,1,器件
330,漏水,1,故障
331,水箱盖,1,器件
336,轮胎异常,1,故障
338,发动机固定螺栓松脱,1,故障
341,电器传动轴松动,1,故障
342,电器传动轴,1,器件
344,曲轴箱通风单向阀,1,器件
347,变速器跳挡,1,故障
350,蓄电池损坏,1,故障
352,大量漏油,1,故障
353,机油泵,1,器件
