equipment,location,loc_count,latitude,longitude
6105QC型,北京,1,39.55,116.24
6110型,北京,1,39.55,116.24
CA1092E运输车,北京,2,39.55,116.24
EQ1090E型汽车,北京,4,39.55,116.24
EQ1090型汽车,北京,56,39.55,116.24
EQ1090油罐车,北京,1,39.55,116.24
EQ1090运水车,湖北,35,30.35,114.17
EQ1090运水车,贵州,11,26.35,106.42
EQ1091型汽车,北京,9,39.55,116.24
EQ1092F1A型汽车,北京,1,39.55,116.24
EQ140型汽车,北京,1,39.55,116.24
EQ144型汽车,北京,1,39.55,116.24
EQ2080型汽车,北京,2,39.55,116.24
EQ2102型,北京,2,39.55,116.24
EQ2102型汽车,北京,1,39.55,116.24
EQ240巡逻车,北京,1,39.55,116.24
EQ240巡逻车,浙江,33,30.16,120.1
EQ240巡逻车箭炮车,浙江,33,30.16,120.1
EQ245牵引车,湖北,35,30.35,114.17
EQll08G6D型柴油车,北京,1,39.55,116.24
EQll08G型柴油车,北京,1,39.55,116.24
EQll08G型汽车,西藏,2,29.39,91.08
EQll08G型车,北京,1,39.55,116.24
EQll08型柴油汽车,北京,1,39.55,116.24
HY473（6×6）牵引车,云南,15,25.04,102.42
HY473（6×6）牵引车,北京,1,39.55,116.24
HY962半挂平板车,北京,1,39.55,116.24
HY962半挂平板车,哈尔滨,1,45.44,126.36
HY962半挂平板车,广州,1,23.08,113.14
WJ94装甲防暴,南京,1,32.03,118.46
WJ94装甲防暴,成都,1,30.4,104.04
WJ94装甲防暴,珠海,1,22.17,113.34
WJ94装甲防暴车,兰州,1,36.04,103.51
WJ94装甲防暴车,贵州,11,26.35,106.42
WJ94轮式装甲防暴车,北京,2,39.55,116.24
WJ94轮式装甲防暴车,广州,3,23.08,113.14
WJ94轮式装甲防暴车,贵州,11,26.35,106.42
WS-1B自行火箭炮,北京,1,39.55,116.24
WS-1B自行火箭炮车,贵州,22,26.35,106.42
WZ901保安车,保定,1,38.51,115.3
WZ901保安车,北京,1,39.55,116.24
WZ901保安车,天津,1,39.02,117.12
WZ901保安车,太原,2,37.54,112.33
WZ901保安车,沈阳,1,41.48,123.25
WZ901保安车,浙江,33,30.16,120.1
WZ901保安车,郑州,1,34.46,113.4
WZ901轮式装甲安全车,上海,1,31.14,121.29
WZ901轮式装甲安全车,南京,1,32.03,118.46
WZ901轮式装甲安全车,哈尔滨,1,45.44,126.36
WZ901轮式装甲安全车,沈阳,1,41.48,123.25
WZ901轮式装甲安全车,河北,66,38.02,114.3
WZ901轮式装甲安全车,长春,1,43.54,125.19
ZSL92式轮式步兵战车,乌鲁木齐,1,43.45,87.36
ZSL92式轮式步兵战车,北京,2,39.55,116.24
ZSL92式轮式步兵战车,南京,1,32.03,118.46
ZSL92式轮式步兵战车,石家庄,1,38.02,114.3
ZSL92式轮式步兵战车,苏州,1,31.19,120.37
ZSL92式轮式步兵战车,贵州,11,26.35,106.42
ZSL92式轮式步兵战车,长沙,1,28.12,112.59
一汽捷达,重庆,1,29.35,106.33
上汽奇瑞,上海,1,31.14,121.29
上海别克GL,哈尔滨,1,45.44,126.36
上海别克GL,河北,33,38.02,114.3
东风EQ1090E,东营,1,37.27,118.3
东风EQ1090E,南京,1,32.03,118.46
东风EQ1090E,扬州,1,32.23,119.26
东风EQ1090E,齐齐哈尔,1,47.2,123.57
东风EQ1091运输车,北京,1,39.55,116.24
东风EQ245,北京,1,39.55,116.24
东风勇士,北京,1,39.55,116.24
东风猛士,四川,60,30.4,104.04
东风猛士,河南,36,34.46,113.4
东风猛士,辽宁,29,41.48,123.25
东风运水车,北京,1,39.55,116.24
东风运水车,湖北,35,30.35,114.17
东风运输车,北京,1,39.55,116.24
东风运输车,贵州,11,26.35,106.42
东风铁甲,北京,3,39.55,116.24
东风铁甲,沈阳,1,41.48,123.25
五岳TAZ3090,上海,2,31.14,121.29
五岳TAZ3090,内蒙古,19,40.48,111.41
五岳TAZ3090,北京,2,39.55,116.24
五岳TAZ3090,南京,1,32.03,118.46
五岳TAZ3090,南昌,1,28.4,115.55
五岳TAZ3090,四川,90,30.4,104.04
五岳TAZ3090,大连,1,38.55,121.36
五岳TAZ3090,天津,1,39.02,117.12
五岳TAZ3090,榆林,1,38.18,109.47
五岳TAZ3090,汕头,1,23.22,116.41
五岳TAZ3090,河北,99,38.02,114.3
五岳TAZ3090,河南,36,34.46,113.4
五岳TAZ3090,深圳,1,22.33,114.07
五岳TAZ3090,甘肃,13,36.04,103.51
